Date,AAPL,AMZN,MSFT,NVDA,CPI,Unemployment,Inflation_MoM,GDP,Interest_Rate
2025-06-02,201.27622985839844,206.64999389648438,460.3502197265625,137.35507202148438,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-03,202.8429412841797,205.7100067138672,461.3466796875,141.19436645507812,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-04,202.3938751220703,207.22999572753906,462.2435302734375,141.8942413330078,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-05,200.20848083496094,207.91000366210938,466.0401611328125,139.964599609375,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-06,203.49156188964844,213.57000732421875,468.7307434082031,141.69427490234375,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-09,201.02674865722656,216.97999572753906,471.0924072265625,142.6041259765625,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-10,202.24420166015625,217.61000061035156,469.26885986328125,143.9338836669922,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-11,198.36236572265625,213.1999969482422,470.9628601074219,142.81399536132812,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-12,198.78147888183594,213.24000549316406,477.1909484863281,144.98374938964844,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-13,196.03726196289062,212.10000610351562,473.2946472167969,141.95408630371094,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-16,198.0031280517578,216.10000610351562,477.46002197265625,144.6737823486328,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-17,195.2289581298828,214.82000732421875,476.3638610839844,144.1038360595703,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-18,196.1669921875,212.52000427246094,478.5561218261719,145.46368408203125,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-20,200.5777130126953,209.69000244140625,475.7261047363281,143.83387756347656,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-23,201.07664489746094,208.47000122070312,484.29595947265625,144.15383911132812,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-24,199.87918090820312,212.77000427246094,488.3915100097656,147.88340759277344,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-25,201.1365203857422,211.99000549316406,490.5439758300781,154.29270935058594,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-26,200.5777130126953,217.1199951171875,495.705810546875,155.00262451171875,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-27,200.6575469970703,223.3000030517578,494.20111083984375,157.73231506347656,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-06-30,204.7389373779297,219.38999938964844,495.66595458984375,157.97230529785156,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-07-01,207.3833770751953,220.4600067138672,490.32470703125,153.2828369140625,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-02,211.99366760253906,219.9199981689453,489.36810302734375,157.2323760986328,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-03,213.10133361816406,223.41000366210938,497.0909423828125,159.3221435546875,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-07,209.50889587402344,223.47000122070312,495.974853515625,158.22227478027344,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-08,209.5687713623047,219.36000061035156,494.8786926269531,159.98207092285156,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-09,210.69639587402344,222.5399932861328,501.74456787109375,162.86175537109375,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-10,211.9637451171875,222.25999450683594,499.7216796875,164.0816192626953,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-11,210.7163543701172,225.02000427246094,501.5552062988281,164.90151977539062,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-14,208.1816864013672,225.69000244140625,501.2562561035156,164.05162048339844,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-15,208.67066955566406,226.35000610351562,504.04644775390625,170.6808624267578,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-16,209.7184600830078,223.19000244140625,503.84716796875,171.35079956054688,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-17,209.57875061035156,223.8800048828125,509.9058532714844,172.98062133789062,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-18,210.73631286621094,226.1300048828125,508.2615966796875,172.39068603515625,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-21,212.03358459472656,229.3000030517578,508.2716064453125,171.36080932617188,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-22,213.9495391845703,227.47000122070312,503.4983825683594,167.01129150390625,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-23,213.7000732421875,228.2899932861328,504.09625244140625,170.7608642578125,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-24,213.31089782714844,232.22999572753906,509.0887451171875,173.7205352783203,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-25,213.43064880371094,231.44000244140625,511.9088439941406,173.48056030273438,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-28,213.6002960205078,232.7899932861328,510.7030334472656,176.73019409179688,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-29,210.8261260986328,231.00999450683594,510.7727966308594,175.49032592773438,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-30,208.6107940673828,230.19000244140625,511.4404296875,179.2499237060547,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-07-31,207.1339111328125,234.11000061035156,531.62939453125,177.85006713867188,322.132,4.3,0.19657853810264303,31098.027,4.33
2025-08-01,201.95480346679688,214.75,522.2722778320312,173.70053100585938,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-04,202.9227752685547,211.64999389648438,533.7619018554688,179.97982788085938,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-05,202.49366760253906,213.75,525.8995361328125,178.24002075195312,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-06,212.8019561767578,222.30999755859375,523.0994262695312,179.39988708496094,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-07,219.56771850585938,223.1300048828125,519.0137939453125,180.749755859375,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-08,228.86813354492188,222.69000244140625,520.2095947265625,182.6795196533203,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-11,226.95997619628906,221.3000030517578,519.9405517578125,182.0395965576172,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-12,229.42758178710938,221.47000122070312,527.3843383789062,183.1394805908203,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-13,233.10403442382812,224.55999755859375,518.7546997070312,181.5696563720703,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-14,232.5545654296875,230.97999572753906,520.6480102539062,181.99960327148438,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-15,231.36570739746094,231.02999877929688,518.3461303710938,180.42977905273438,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-18,230.66639709472656,231.49000549316406,515.286865234375,181.98959350585938,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-19,230.3367156982422,228.00999450683594,507.98260498046875,175.6203155517578,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-20,225.79110717773438,223.80999755859375,503.9468078613281,175.38034057617188,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-21,224.68218994140625,221.9499969482422,503.2980041503906,174.96038818359375,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-22,227.53941345214844,228.83999633789062,506.2824401855469,177.97006225585938,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-25,226.94000244140625,227.94000244140625,503.3179931640625,179.78985595703125,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-26,229.08792114257812,228.7100067138672,501.1021423339844,181.7496337890625,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-27,230.26678466796875,229.1199951171875,505.7933349609375,181.57965087890625,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-28,232.33477783203125,231.60000610351562,508.68792724609375,180.14981079101562,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-08-29,231.91517639160156,229.0,505.7434387207031,174.1604766845703,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-02,229.49752807617188,225.33999633789062,504.1763610839844,170.7608642578125,323.364,4.3,0.3824519141221616,31098.027,4.33
2025-09-03,238.2390594482422,225.99000549316406,504.40594482421875,170.60089111328125,323.364,4.3,0.3824519141221616,31098.027,4.33
